2017-10-31T12:30:47.986+0530 I REPL     [replication-0] Choosing new sync source because our current sync source, localhost:27017, has an OpTime ({ ts: Timestamp 1509432936000|1, t: 3 }) which is not ahead of ours ({ ts: Timestamp 1509432936000|1, t: 3 }), it does not have a sync source, and it's not the primary (sync source does not know the primary)
2017-10-31T12:30:47.986+0530 I REPL     [replication-0] Canceling oplog query due to OplogQueryMetadata. We have to choose a new sync source. Current source: localhost:27017, OpTime { ts: Timestamp 1509432936000|1, t: 3 }, its sync source index:-1
2017-10-31T12:30:47.986+0530 W REPL     [rsBackgroundSync] Fetcher stopped querying remote oplog with error: InvalidSyncSource: sync source localhost:27017 (config version: 2; last applied optime: { ts: Timestamp 1509432936000|1, t: 3 }; sync source index: -1; primary index: -1) is no longer valid
2017-10-31T12:30:47.986+0530 I REPL     [rsBackgroundSync] could not find member to sync from
2017-10-31T12:30:47.987+0530 I REPL     [SyncSourceFeedback] SyncSourceFeedback error sending update to localhost:27017: InvalidSyncSource: Sync source was cleared. Was localhost:27017
2017-10-31T12:30:48.984+0530 I ASIO     [NetworkInterfaceASIO-RS-0] Successfully connected to localhost:27017, took 1001ms (2 connections now open to localhost:27017)
2017-10-31T12:30:52.681+0530 I NETWORK  [thread1] connection accepted from 127.0.0.1:60319 #4 (3 connections now open)
2017-10-31T12:30:52.681+0530 I NETWORK  [conn4] received client metadata from 127.0.0.1:60319 conn4: { driver: { name: "NetworkInterfaceASIO-Replication", version: "3.4.4" }, os: { type: "Windows", name: "Microsoft Windows Server 2012", architecture: "x86_64", version: "6.2 (build 9200)" } }
2017-10-31T12:30:52.988+0530 I REPL     [ReplicationExecutor] Member localhost:27017 is now in state PRIMARY
2017-10-31T12:30:52.991+0530 I REPL     [rsBackgroundSync] sync source candidate: localhost:27017
2017-10-31T12:31:51.678+0530 I -        [conn3] end connection 127.0.0.1:60309 (3 connections now open)
2017-10-31T13:31:05.289+0530 I -        [conn2] end connection 127.0.0.1:60308 (2 connections now open)
2017-10-31T13:35:06.647+0530 I NETWORK  [thread1] connection accepted from 127.0.0.1:52506 #5 (2 connections now open)
2017-10-31T13:35:06.647+0530 I NETWORK  [conn5] received client metadata from 127.0.0.1:52506 conn5: { driver: { name: "PyMongo", version: "3.5.1" }, os: { type: "Windows", name: "Windows 2012ServerR2", architecture: "AMD64", version: "6.3.9600-" }, platform: "CPython 2.7.13.final.0" }
2017-10-31T13:35:06.659+0530 I NETWORK  [thread1] connection accepted from 127.0.0.1:52510 #6 (3 connections now open)
2017-10-31T13:35:06.659+0530 I NETWORK  [conn6] received client metadata from 127.0.0.1:52510 conn6: { driver: { name: "PyMongo", version: "3.5.1" }, os: { type: "Windows", name: "Windows 2012ServerR2", architecture: "AMD64", version: "6.3.9600-" }, platform: "CPython 2.7.13.final.0" }
2017-10-31T13:35:06.663+0530 I NETWORK  [thread1] connection accepted from 127.0.0.1:52511 #7 (4 connections now open)
2017-10-31T13:35:06.664+0530 I NETWORK  [conn7] received client metadata from 127.0.0.1:52511 conn7: { driver: { name: "PyMongo", version: "3.5.1" }, os: { type: "Windows", name: "Windows 2012ServerR2", architecture: "AMD64", version: "6.3.9600-" }, platform: "CPython 2.7.13.final.0" }
